"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"866","RT @Amiel_77: I'm so stressed I can't sleep. Oh and when I get some sleep I dream about being stressed. Ok goodnight. https://t.co/I4GrOPzS…",FALSE,0,NA,2017-06-05 05:54:48,FALSE,NA,"871606207177306113",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marrleneeee",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/805488144040607745/vUoqO-oA_normal.jpg"
"867","RT @ELNELLAtics: So after Bloody Crayons mag focus naman sila sa Shoot sa My Fairy Tail Love Story... Too Blessed to be Stressed 

#Unstopp…",FALSE,0,NA,2017-06-05 05:54:44,FALSE,NA,"871606193688526849",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","graybusternatsu",130,TRUE,FALSE,NA,NA,"Nowhere","en","http://pbs.twimg.com/profile_images/869064184759111680/JF89IhL2_normal.jpg"
"868","I added a video to a @YouTube playlist https://t.co/Zba5Qp9N9c twenty one pilots: Stressed Out [OFFICIAL VIDEO]",FALSE,0,NA,2017-06-05 05:54:42,FALSE,NA,"871606184477945856",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","FrankiePlayzYT",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/856658495671644160/K97kAJo1_normal.jpg"
"869","i'm already stressed out from this week and it hasn't even started yet lolol",FALSE,3,NA,2017-06-05 05:54:38,FALSE,NA,"871606166031220737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","snodgrasskayla9",0,FALSE,FALSE,NA,NA,"Selah, WA","en","http://pbs.twimg.com/profile_images/869414097904836608/4QhrfDKu_normal.jpg"
"870","Im so relaxed and not stressed mannnnnn my skin is prospering, im eating well, im sleeping 10 hours a night. I am LIVING.",FALSE,0,NA,2017-06-05 05:54:38,FALSE,NA,"871606165968310272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","_imcourt",0,FALSE,FALSE,NA,NA,"houstonmftxho","en","http://pbs.twimg.com/profile_images/864103134192439296/BbxesckJ_normal.jpg"
"871","RT @vantablvck: i'm too young to be this stressed",FALSE,0,NA,2017-06-05 05:54:31,FALSE,NA,"871606135450501121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IzyanHamit",10993,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/871072305819942912/TBTiqpAk_normal.jpg"
"872","RT @PETTYMAMII: Napping is legit my only form of conflict resolution. Sad, mad,  stressed out, confused all that .. just take a nap <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,NA,2017-06-05 05:54:30,FALSE,NA,"871606133357780992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WeDream_Dreams",20894,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/868292117713620992/muMviMWH_normal.jpg"
"873","I haven't been this stressed in a while",FALSE,0,NA,2017-06-05 05:54:28,FALSE,NA,"871606123782189056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amber_nicole520",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/748727608762781697/VAtsYrnh_normal.jpg"
"874","Fan: I'm so stressed with my studies. What do I do?

Jin: Me too.

@BTS_twt #BTSWEEK #worldwidehandsome https://t.co/O4yRdVS3b8",FALSE,8,NA,2017-06-05 05:54:25,FALSE,NA,"871606112805502976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mysoulkth",8,FALSE,FALSE,NA,NA,"Seoul, Republic of Korea","en","http://pbs.twimg.com/profile_images/871370669249839104/phjXy4sk_normal.jpg"
"875","RT @TREEOFL1F3: Practice the pause.
When in doubt, pause.
When angry, pause.When tired, pause.
When stressed, pause.
And when you pause, Pa…",FALSE,0,NA,2017-06-05 05:54:24,FALSE,NA,"871606108338745344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","breninprydain",15,TRUE,FALSE,NA,NA,"Isle of Man","en","http://pbs.twimg.com/profile_images/871306802146811904/o6orlkqF_normal.jpg"
