created,text,retwc,hashtag,followers,friends
2017-05-02 17:58:05,"b""RT @SINice: I don't understand why ppl think you have to put up with stress and unhappiness for a relationship.""",149,None,344,247
2017-05-02 17:58:05,"b'RT @MarilynMonroeDC: I miss being a little kid with no stress, worries, or care in the world.'",50,None,465,751
2017-05-02 17:58:04,b'RT @chrismturner1: How to drain the morning stress for the day ahead https://t.co/OH4dHwBHGp',8,None,21,23
2017-05-02 17:58:03,"b'RT @tferriss: The Tim Ferriss Radio Hour: How to Control Stress, Upgrade Your Nutrition, and Build the Mindset of a Gladiator https://t.co/\xe2\x80\xa6'",5,None,2386,2524
2017-05-02 17:58:03,b'RT @OCEARCH: Blood work taken before &amp; after working up a shark shows stress levels low during shark track tagging process. #SharkTrackers\xe2\x80\xa6',4,SharkTrackers,583,369
2017-05-02 17:58:02,b'The Smartest Way to Combat Stress (From a TED Speaker and Neuroscientist) https://t.co/t6W60B1iEz https://t.co/Qlna3rmXrf',0,None,19834,17028
2017-05-02 17:57:59,"b""RT @tkh44: It is amazing what a few strategically placed pure wrappers can do for you. Can't stress how helpful the `?react_perf` query par\xe2\x80\xa6""",15,None,898,659
2017-05-02 17:57:59,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,5552,3946
2017-05-02 17:57:57,b'RT @oh_dipsy_di33r: Girls be stress honestly \xf0\x9f\x98\xa9',8,None,5129,847
2017-05-02 17:57:57,"b""RT @Fact: Don't cry over the past, it's gone. Don't stress about the future, it hasn't arrived. Live in the present and make it beautiful.""",293,None,3058,1949
2017-05-02 17:57:53,b'Can I just go home to relieve my stress with working with the show calves?',0,None,641,680
2017-05-02 17:57:53,b'RT @KookieftSelena: RT if todays RUN BTS! Ep just took away all the stress and worries from today\n\nI vote @BTS_twt for the Top Social Artis\xe2\x80\xa6',15,None,21,90
2017-05-02 17:57:52,"b""RT @Chuckoren_: @DwillyVibes \xf0\x9f\x98\x82 you don't stress about nothin""",1,None,684,641
2017-05-02 17:57:50,"b""Let's talk payment. Expenses and stress inclusive. https://t.co/1rv01k3Lo9""",0,None,2170,3733
2017-05-02 17:57:50,"b""RT @byekhanyi: don't stress us please https://t.co/Gjm1I4kHV1""",340,None,646,720
2017-05-02 17:57:50,b'RT @UrFavritAsshole: VIRGO: DONT STRESS OVER MONEY BECAUSE EVERYBODY IS HAVING MONEY PROBLEMS. TRY TO SAVE MONEY AND FIND A BETTER JOB HOE',24,None,869,903
2017-05-02 17:57:49,"b""@vmattingly13 Well you're gorgeous and only deserve the best so don't forget how amazing you are. Don't stress over\xe2\x80\xa6 https://t.co/yKcRYRIipc""",0,None,565,670
2017-05-02 17:57:44,"b'@ViictorySR_  dont be stress, u should be happy sometimes too. Cheer up okay? Hehe . Aww goodluck with ur exam ! All the best \xf0\x9f\x92\xaa'",0,None,4734,1669
2017-05-02 17:57:43,b'@emmthom36 @ me next time. I stress clean.',0,None,110,403
2017-05-02 17:57:43,"b'RT @MeechIsDEAD: Finesse, Never Stress.'",2590,None,59,164
2017-05-02 17:57:43,"b""RT @ibewilding: Don't stress just flex""",2,None,209,297
2017-05-02 17:57:42,"b""RT @SINice: I don't understand why ppl think you have to put up with stress and unhappiness for a relationship.""",149,None,927,484
2017-05-02 17:57:40,"b'Sometimes your stress level reaches the ""what I really need right now is a giant plate of food\xe2\x80\xa6 https://t.co/dIOzrRZaw9'",0,None,491,355
2017-05-02 17:57:40,b'RT @Fact: Being a perfectionist can result in stress and depression.',155,None,1179,694
2017-05-02 17:57:40,"b""RT @Valerie_Reyna: no nigga to stress me, I look good, I feel even better ... the way it's suppose to be""",1,None,676,295
2017-05-02 17:57:39,b'Some amazing artwork by my daughter on how animal assisted therapy can help with things such as reducing stress... https://t.co/qWp6EQ9soz',0,None,359,1033
2017-05-02 17:57:39,"b""RT @Ari_theDJ: I can't stress enough how important it is to believe in yourself and your abilities. YOU DO THIS SHIT!!! Never forget it.""",24,None,489,394
2017-05-02 17:57:38,"b""2nd person blocked. Fuck off, I can't stress enough that I don't care about Katy Perry. \xf0\x9f\x98\x82\xf0\x9f\x92\x80 https://t.co/rYnp85KIHB""",0,None,2728,1567
2017-05-02 17:57:36,b'RT @wuutalyssa: cant stress how important reassurance is https://t.co/VvqpazmXey',15801,None,269,217
2017-05-02 17:57:36,b'RT @HealingMB: Stressed? Sit back and relax ..#nature #mindfulness #stress https://t.co/YjkLjGJ1qT',33,nature,169,165
2017-05-02 17:57:36,"b""RT @harrycurI: listening to sweet creature literally made all the stress from his tour go away i'm not saying he did it on purpose because\xe2\x80\xa6""",16,None,325,680
2017-05-02 17:57:33,b'RT @michaunK: In 10th grade i use to hope i would never stress over finding a date to prom and now look i had my date secured for a year no\xe2\x80\xa6',3,None,675,380
2017-05-02 17:57:32,b'stress headache at work. send puppies and/or melted cheese',0,None,924,343
2017-05-02 17:57:32,"b'RT @IntThings: Remember, most of your stress comes from the way you respond, not the way life is. Adjust your attitude, and all that extra\xe2\x80\xa6'",1042,None,1098,963
2017-05-02 17:57:31,b'RT @eethvn: never stress over rumors because the only person you have to prove yourself to is God',29,None,268,226
2017-05-02 17:57:30,"b""He was such a prick that she blames herself for his stupid actions and I can't stress enough to her that she isn't at fault here at all""",0,None,92,122
2017-05-02 17:57:29,"b'RT @UrFavritAsshole: LIBRA: DONT LET ANYTHING STRESS U OUT, U HAVE ENOUGH TO DEAL WITH RIGHT NOW. HANDLE WHAT U CAN AND LEAVE DA REST IN GO\xe2\x80\xa6'",101,None,956,658
2017-05-02 17:57:29,"b""RT @638hnwest: stressin ab stuff I don't have time to stress ab""",5,None,427,513
2017-05-02 17:57:29,b'RT @Tshegokiie: University stress will make you do things that cannot be done.',102,None,818,681
2017-05-02 17:57:28,b'RT @KookieftSelena: RT if todays RUN BTS! Ep just took away all the stress and worries from today\n\nI vote @BTS_twt for the Top Social Artis\xe2\x80\xa6',15,None,91,382
2017-05-02 17:57:26,"b""One day we all gon die so don't stress right ?""",0,None,789,60
2017-05-02 17:57:25,b'@KilladelphiaRS if I hop straight into grad school I might actually die from stress',1,None,1067,576
2017-05-02 17:57:21,"b""@DwillyVibes \xf0\x9f\x98\x82 you don't stress about nothin""",1,None,737,481
2017-05-02 17:57:21,b'RT @modestie_06: All this stress just buildin up',4,None,240,293
2017-05-02 17:57:21,"b'How ironic. We are learning how to reduce stress, yet it increases my stress more\xf0\x9f\x98\x82'",0,None,71,30
2017-05-02 17:57:20,b'Press And Hold This Point On Your Chest To Instantly Relieve Stress And Anxiety\nhttps://t.co/voqoRefmUb\nWorld Healt\xe2\x80\xa6 https://t.co/j57hNXgwku',0,None,176,85
2017-05-02 17:57:19,b'Press And Hold This Point On Your Chest To Instantly Relieve Stress And Anxiety https://t.co/7i7rj0wMn0',0,None,1281,33
2017-05-02 17:57:19,b'Press And Hold This Point On Your Chest To Instantly Relieve Stress And Anxiety https://t.co/9LsNHo99EK',0,None,551,1454
2017-05-02 17:57:18,"b""Aww I'm gone miss my cousin I want her to have a safe flight &amp; stress free trip ohhh &amp; have a drink for me \xe2\x9c\x88\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\x82""",0,None,110,101
2017-05-02 17:57:18,"b""RT @SINice: I don't understand why ppl think you have to put up with stress and unhappiness for a relationship.""",149,None,463,439
2017-05-02 17:57:18,"b'RT @A_StrongWomen: Live more, complain less.\nMore smiles, less stress.\nLess hate, more blessed.'",2,None,192,546
2017-05-02 17:57:17,b'this stress is not something I bargained for when I accrued the student loan debt and committed myself to working in libraries for a career',0,None,167,309
2017-05-02 17:57:16,b'RT @cant_guard: Through the stress I gotta smile I gotta laugh',2,None,1233,646
