created,text,retwc,hashtag,followers,friends
5/5/2017 1:48,"b""My stress and anxiety is already very high and this doesn't make it any easier on me.""",0,None,989,1297
5/5/2017 1:48,"b""i stress about my grades/gpa on the daily!! a C isn't accepted from me!!! I HAVE A 3.95/4.0 AND I PANIC IF I DONT HAVE AT LEAST A B!! not ok""",0,None,91,106
5/5/2017 1:48,b'seeing my dogs reduces my stress levels so much \xf0\x9f\x98\xad',0,None,308,606
5/5/2017 1:48,b'7 Healthy Foods That Help Fight Stress https://t.co/UM7bA19zLp https://t.co/68T7EItbfo',0,None,7809,7946
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,17947,15557
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,91443,72389
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,40683,40655
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,33662,31739
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,31323,32412
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,42645,40840
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,15333,10505
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,21052,17321
5/5/2017 1:48,b'RT @mindfulive: A 5 Minute Tea Meditation That Trains Your Brain to De-Stress and Be Present via @ideaS https://t.co/Nv4SDgiKNj',21,None,12184,12195
