,username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
19,Yoni Appelbaum,269911034,5/9/17 11:32,".@PRRIpoll 10. Bottom line? White, working class Trump voters felt culturally displaced and resentful, not financia... https://t.co/BiHl2Ll51y",2299,None,19741,496,0.05,0.05
20,Thomas Sanders,612750924,5/11/17 18:25,"""You look tired and stressed, are you stressed?""Well I didn't think I was until you just made me self-conscious about how I looked!!",994,None,447046,1024,-0.625,0.7
21,OXTAIL GAWD,20691338,5/13/17 16:34,ya back teeth are stressed https://t.co/89PXlErU51,753,None,78504,27727,0,0
22,Malaa,3100257690,5/12/17 19:20,I'm too young to be stressed out.,834,None,29702,178,0.1,0.4
23,Sopan Deb,48120914,5/16/17 2:02,I could be in a hostage situation and I wouldn't be more stressed than I am right now.,76,None,165779,4614,0.392857143,0.517857143
24,The Independent,16973333,5/10/17 22:48,Finland is giving each citizen a universal basic income and it is making people less stressed https://t.co/KFXKuhy9wl,513,None,2213574,1125,-0.055555556,0.063888889
25,AcneSkinSite,143014330,5/10/17 8:45,"Don't Worry Be Happy. The more stressed you are, the more your body reacts and you may see more blemishes.",448,None,834202,6,0.575,0.625
26,SZA,256883252,5/9/17 4:54,Grateful + stressed  /occasionally apologetic https://t.co/NE9et3z0SP,494,None,319063,471,0,0
27,Oliver Kamm,157760297,5/13/17 18:43,Corbyn on foreign policy: can't be stressed enough that he joined Pilger in whitewashing war crimes of Milosevic. https://t.co/zeSMNeKCRU,212,None,19515,997,-0.0625,0.3125
28,Shannon Clermont,267545354,5/9/17 14:31,Too blessed to be stressed ,464,None,95827,853,0,0
29,Reno Omokri,264248576,5/15/17 12:52,"The economy is bad, people are stressed, suicide is on the rise. Dont pressure your debtors. Don't push them. Corpses can't repay debts.",183,None,177716,65,-0.7,0.666666667
30,Sophia Benoit,257591704,5/9/17 1:47,me: i'm stressed,,,,,,
,,,,,,,,,,
my body: here is some acne,,,,,,,,,,
,,,,,,,,,,
me:...,,,,,,,,,,
,,,,,,,,,,
my body: because you're stressed,,,,,,,,,,
,,,,,,,,,,
me: I know i'm stressed,,,,,,,,,,
,,,,,,,,,,
my body: so did it help?,225,None,56691,813,0,0,,,,
0,Monica Alba,71584155,5/18/17 11:44,"White House officials stressed yesterday that the president had a ""measured"" response to Mueller news. 12 hours lat... https://t.co/TvUVPhNLBy",371,None,22793,2110,0,0
1,Aseefa B Zardari,130159846,5/18/17 8:42,CM #Sindh has personally been monitoring #polio situation and stressed the importance of reaching &amp; vaccinating every child to protect them,280,Sindh,1199256,716,0,0.3
2,The Notebook,233430873,5/19/17 3:17,"Care less, and you won't be so stressed.",428,None,5767353,160,-0.166666667,0.066666667
3,Rachel Ballinger,468957900,5/18/17 21:13,"Feeling stressed? SQUISH IT OUT! Watch my DIY stress ball video... Guys, they were awesome to make https://t.co/OpYmqa1Ka9",102,None,424192,4778,1,1
4,BRANDON WARDELL,58323389,5/18/17 21:20,"r u guys going 2 that dorm party later? dam. my social studies class has me stressed out, brother. i cant wait 2 underage drink tonight hehe",119,None,160973,1048,0.016666667,0.033333333
5,Mikki Kendall,100136358,5/18/17 11:31,I was getting stressed out by the order of succession then names of people implicated started to leak &amp; well...will there be a GOP left?,65,None,74461,1031,-0.2,0.25
6,Becca Tilley,31047270,5/18/17 4:15,I am NERVOUS for the Grey's finale tomorrow!Just watched last weeks episode &amp; feeling STRESSED. What would I tweet about without this show?,119,None,220755,282,-0.025,0.083333333
7,Molly Hunter,117967849,5/18/17 17:12,"More: The US official stressed the force that was struck were NOT Assad regime forces, but a pro-regime Shiite militia backed by Iran.",38,None,6781,1922,0.5,0.5
8,Blindspot,2994020017,5/18/17 0:33,Raise your hand if you're stressed out. #Blindspot,47,Blindspot,169940,285,0,0
9,Fox News,1367531,5/18/17 19:51,".@BillCassidy: ""He stressed that this is an investigation... He said to say that it went beyond that would prejudic... https://t.co/qepHrzyarP",62,None,14526867,439,0,0
10,Brad Williams,18723984,5/19/17 3:40,News got you stressed out? Here's a dwarf jumping into a ball pit https://t.co/3B1JxFXdbz,49,None,65555,284,0,0
11,Sahil Kapur,19847765,5/17/17 14:18,"In opening remarks at presser, Paul Ryan and his leadership team stressed tax reform. Then every question he got was about Trump/FBI/Russia.",76,None,61503,522,0,0
12,Randi Mayem Singer,372563164,5/17/17 22:47,Trump's probably so stressed out right now no amount of Russian hooker pee can calm him.,53,None,13562,452,0.195238095,0.428571429
13,UN Refugee Agency,14361155,5/19/17 2:58,"Kidnapped, sleep-deprived + stressed . How our brave aid workers train for the worst situations... https://t.co/hN9GBoF8d3",27,None,2140643,37465,-0.1,1
14,Inc.,16896485,5/18/17 13:17,Stressed Out? Try This Scary But Effective Tactic to Make Your Workday Easier @peterkozodoy https://t.co/PKrE6azh7q,21,None,2310871,1694,0.05,0.9
15,Grayson Dolan,2156278138,5/11/17 17:18,When you're so stressed that real life bs follows you to your dreams and stresses you out while you're asleep ,7916,None,2703485,17043,0.2,0.3
16,Grayson Dolan,2156278138,5/12/17 2:40,I woke up stressed and down today and it turned out to be an amazing day. Stay positive and life will continue to get better.,8162,None,2703485,17043,0.292929293,0.558585859
17,Katya,175180732,5/14/17 20:09,Too blessed to be stressed when your mom's the best. #MothersDay https://t.co/EEvZFQztRP,710,MothersDay,255152,738,1,0.3
18,FutureFemaleLeaders,624849630,5/14/17 13:45,Stressed *calls mom*,,,,,,
,,,,,,,,,,
Happy *calls mom*,,,,,,,,,,
,,,,,,,,,,
Anxious *calls mom*,,,,,,,,,,
,,,,,,,,,,
Sad *calls mom*,,,,,,,,,,
,,,,,,,,,,
Excited *calls mom*,,,,,,,,,,
,,,,,,,,,,
Annoyed *calls mom*,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Happy #MothersDay!,595,MothersDay,49723,453,0.170833333,0.925,,,,
19,AcneSkinSite,143014330,5/17/17 1:45,"Pamper yourself. If you're feeling stressed, your skin is going to show it. Treat yourself and your skin to a home made spa day.",482,None,834757,6,0,0
20,Thomas Sanders,612750924,5/11/17 18:25,"""You look tired and stressed, are you stressed?""Well I didn't think I was until you just made me self-conscious about how I looked!!",995,None,447465,1026,-0.625,0.7
21,Laurence Tribe,4091551984,5/16/17 2:26,".@RepAlGreen rightly stressed on @allinwithchris that impeachment is like indictment, not conviction, which demands... https://t.co/Am2T7P1yk7",276,None,127507,1057,0.285714286,0.535714286
22,OXTAIL GAWD,20691338,5/13/17 16:34,ya back teeth are stressed https://t.co/89PXlErU51,753,None,78523,27727,0,0
23,Malaa,3100257690,5/12/17 19:20,I'm too young to be stressed out.,837,None,29719,178,0.1,0.4
24,The Independent,16973333,5/10/17 22:48,Finland is giving each citizen a universal basic income and it is making people less stressed https://t.co/KFXKuhy9wl,512,None,2214539,1125,-0.055555556,0.063888889
